,source,target
1154,we were just three guys sitting on a couch getting very very fucked up that s all,we were just three guys we were sitting on the couch and we were totally drugged
1155,what did i fucking tell you,what did i tell you
1156,i know if i did that i d be stupid,i know that if i do i d be set but i can t
1157,and for those who don t know what callipygians mean she had a nice ass,and for those of you who don t know what callipygian means it means she has a nice bottom
1158,once he starts missing his tits he heads back to virginia,once he starts missing his goats he ll head back to virginia
1161,i m getting too old for this shit,i m too old for these staples
1162,this shit i don t feel nothin,but i don t feel anything
1163,and i m glad i knew you were lying because if it were true what would you say if aaron raised kate i would kill her,and i m so glad to know you were lying because if what you said was the truth if kate was raising aaron
1164,this isn t a fucking game man,this is not a bad golf game
1165,it s stuffed with shit like gold silver and jewelry,it s full up with like gold and silver and like jewels
1166,fancy a couple of years in domestic bliss instead of following up what you started fuck off demps,two years of domestic happiness instead of completing what you started
1167,it s not your dick,it s not in your tail
1168,show some fucking action man,show some action buddy
1169,is fucking jimmy there,is jimmy there
1170,to hell with your paperwork,to blazes with your paperwork
1171,nigger this is,nigga this is how
1172,when did this shit start,when did this noise start
1173,and wipe your nose idiot,and wipe your nose
1174,you heard me you lying piece of shit i broke up with her and i left,look i broke up with her and i left that s all
1175,burn marks from an explosion damn,that burn on concrete burns from an explosion
1176,that of course is a damn stupid reason to tie a person to your neck for the rest of your life,of course that is one hell of a milk toast reason to link up with one person for the rest of your existence
1177,i think it s just a bunch of positive bullshit,i think it s a bunch of positive language
1178,oh so you want to kill me too,oh so you re gonna take me out
1179,did you forget that someone was in there with a goddamn hand cannon,that there s someone hidden with a cannon in your hand
1180,you ruined my balls,you ve ruined it
1181,throw it over the fence man fuck it,throw it over the fence
1183,i swear i only saw victims fuck you,i only saw the victims
1184,lumbergh fucked her,lumbergh with her
1185,i m weeks away from retirement got paperwork up my ass,i only have a few weeks to retire
1187,don t worry it s just a pussy,don t worry it just a trivial stuff
1188,execute him engineer,do so now engineer
1189,leave pussy to steve stan,let steve keep kisses stan
1190,pick up hook s hook and cut him,steal hook s hook then crow
1191,it s a stupid plan it s not going to work,it s a rotten plan it won t work
1192,every christmas some asshole gives me this copy of young poet with this patronizing note on the flap about how it s supposed to change my life,every christmas some jersey will give me a copy of young poet with a congratulatory note on the booklet about how i can change my life
1193,this darn thing s not working again,it s not working again
1194,you re the spitting image of your mother,you re a loyal form of your mother
1195,he knows all the security all that shit,he knows everything about security and everything
1196,and damn the whole thing just got really complicated,oh man this whole thing just got a lot more complicated
1197,sometimes i can t believe i talk about this crap all day,i can t believe i m talking about this madness all day
1198,they re making a fool of you mate,they re playing you dude
1199,another important part of this phase was getting your ass in here which is also done,another important part of this phase was to bring you here which is also done
1200,oh fuck i don t know what to do,i don t know what to do
1201,he pulled this same crap on me when i ran for senate,when i ran for the senate he did the same
1202,would someone please execute this putz,does anyone want to run this putz
1203,shut up for christ s sake,stop for christ s sake
1205,even though my life has turned to shit,even if i m out of my life now
1206,don t be foolish your clothes are still wet,your clothes are still wet
1207,the way you re eye fucking fangbangers from across the room that s especially romantic,just as you look at all the vampires in the room that s really romantic
